,fpx,fpy,fpz,fvx,fvy,fvz
306.0,495.5035,6929.087,9.168829e-05,0.4254616,0.1472779,9.054335e-08
307.0,483.7375,6952.952,9.173503e-05,0.4249784,0.1471519,9.05772e-08
308.0,474.5425,6971.387,9.163148e-05,0.4246316,0.1471567,9.075444e-08
309.0,469.5326,6978.971,9.135993e-05,0.4244926,0.1473272,9.113088e-08
310.0,470.2276,6971.27,9.090343e-05,0.424637,0.1477009,9.172595e-08
311.0,476.7,6950.973,9.024917e-05,0.4250835,0.1482644,9.245697e-08
312.0,488.9553,6911.706,8.947147e-05,0.4257246,0.148852,9.315074e-08
313.0,499.132,6894.923,8.858827e-05,0.4263653,0.1493212,9.337676e-08
314.0,518.0597,6846.497,8.771608e-05,0.427419,0.1499995,9.422271e-08
315.0,532.378,6821.944,8.68063e-05,0.428167,0.1504803,9.429695e-08
316.0,549.1839,6796.567,8.597409e-05,0.4291245,0.150986,9.471482e-08
317.0,564.8207,6774.781,8.523613e-05,0.4299126,0.1513714,9.486407e-08
318.0,577.712,6774.463,8.453276e-05,0.4307421,0.151777,9.500956e-08
319.0,590.8043,6761.641,8.408621e-05,0.4313863,0.1519676,9.498162e-08
320.0,598.4028,6778.647,8.371915e-05,0.4319445,0.1521867,9.48603e-08
321.0,609.1172,6767.628,8.364239e-05,0.4324176,0.1522495,9.490648e-08
322.0,616.1199,6765.965,8.372198e-05,0.4326933,0.1522498,9.469845e-08
323.0,623.0908,6756.65,8.400291e-05,0.4329371,0.152171,9.459691e-08
324.0,627.2085,6746.958,8.444993e-05,0.4329346,0.1519976,9.431245e-08
325.0,630.5915,6735.766,8.501066e-05,0.4329328,0.1518047,9.417164e-08
326.0,630.2189,6731.939,8.566014e-05,0.4327561,0.1515545,9.382874e-08
327.0,630.0228,6723.361,8.635329e-05,0.4326235,0.1514086,9.373647e-08
328.0,628.2722,6716.223,8.703403e-05,0.4324112,0.1512485,9.357581e-08
329.0,625.5191,6710.783,8.769541e-05,0.4321935,0.1510735,9.343009e-08
330.0,621.3716,6708.53,8.831949e-05,0.431941,0.1508854,9.326108e-08
331.0,615.9436,6710.494,8.889611e-05,0.4316722,0.1507007,9.30996e-08
332.0,609.205,6716.869,8.941892e-05,0.4313749,0.1505097,9.293116e-08
333.0,601.2904,6727.184,8.988926e-05,0.4310432,0.1503039,9.275639e-08
334.0,591.9769,6743.135,9.030239e-05,0.4306747,0.1500828,9.256348e-08
