,fpx,fpy,fpz,fvx,fvy,fvz
312.0,121.4016,1733.204,2.259126e-05,0.15804,0.05457726,3.34164e-08
313.0,123.8229,1725.985,2.240711e-05,0.1582847,0.0547921,3.364949e-08
314.0,126.7672,1719.102,2.220168e-05,0.1585839,0.05500575,3.381776e-08
315.0,130.9772,1708.279,2.199071e-05,0.1589551,0.05524225,3.404843e-08
316.0,134.4509,1702.231,2.177324e-05,0.1592635,0.05541835,3.41119e-08
317.0,138.4161,1696.175,2.156871e-05,0.159619,0.05561076,3.426442e-08
318.0,142.2191,1690.767,2.138541e-05,0.1599116,0.05576191,3.433762e-08
319.0,145.6005,1689.245,2.121113e-05,0.1602133,0.05591896,3.441536e-08
320.0,148.8318,1685.927,2.109423e-05,0.1604316,0.05599157,3.440568e-08
321.0,150.7863,1689.741,2.099621e-05,0.1606166,0.05607085,3.437548e-08
322.0,153.432,1687.134,2.096759e-05,0.1607587,0.05609361,3.439501e-08
323.0,155.1245,1687.371,2.097426e-05,0.1608282,0.05609403,3.432908e-08
324.0,156.9014,1685.15,2.103229e-05,0.1608774,0.05606143,3.430081e-08
325.0,157.8981,1683.449,2.112979e-05,0.1608366,0.05599112,3.419943e-08
326.0,158.7587,1681.114,2.125729e-05,0.1607947,0.05591295,3.415164e-08
327.0,158.6943,1680.553,2.14083e-05,0.1606872,0.05580975,3.402723e-08
328.0,158.6573,1678.832,2.157252e-05,0.1605958,0.0557416,3.398807e-08
329.0,158.2707,1677.28,2.173574e-05,0.1604806,0.05567012,3.392812e-08
330.0,157.6628,1675.971,2.189539e-05,0.160368,0.05559532,3.387317e-08
331.0,156.713,1675.415,2.204679e-05,0.1602485,0.05551599,3.380721e-08
332.0,155.454,1675.846,2.218744e-05,0.1601304,0.0554395,3.374349e-08
